battery_id,cycle_index,status,current_profile_type,ambient_temp_c,record_count,capacity_ah,dataset_id,dataset_path,source_mat_path
B0005,1,canonical,constant_discharge,24.0,197,1.856487,nasa_ames_b0005_discharge_0001,C:\Users\Craig\OneDrive\Desktop\Alnoris BMSx\backend\sim_core\truth_data\nasa_ames\canonical\b0005\nasa_ames_b0005_discharge_0001.json,C:\Users\Craig\OneDrive\Desktop\Alnoris BMSx\Data\_extracted\nasa_ames\1. BatteryAgingARC-FY08Q4\B0005.mat
B0005,293,canonical,constant_discharge,24.0,327,1.538237,nasa_ames_b0005_discharge_0293,C:\Users\Craig\OneDrive\Desktop\Alnoris BMSx\backend\sim_core\truth_data\nasa_ames\canonical\b0005\nasa_ames_b0005_discharge_0293.json,C:\Users\Craig\OneDrive\Desktop\Alnoris BMSx\Data\_extracted\nasa_ames\1. BatteryAgingARC-FY08Q4\B0005.mat
B0005,613,canonical,constant_discharge,24.0,300,1.325079,nasa_ames_b0005_discharge_0613,C:\Users\Craig\OneDrive\Desktop\Alnoris BMSx\backend\sim_core\truth_data\nasa_ames\canonical\b0005\nasa_ames_b0005_discharge_0613.json,C:\Users\Craig\OneDrive\Desktop\Alnoris BMSx\Data\_extracted\nasa_ames\1. BatteryAgingARC-FY08Q4\B0005.mat
B0006,1,canonical,constant_discharge,24.0,197,2.035338,nasa_ames_b0006_discharge_0001,C:\Users\Craig\OneDrive\Desktop\Alnoris BMSx\backend\sim_core\truth_data\nasa_ames\canonical\b0006\nasa_ames_b0006_discharge_0001.json,C:\Users\Craig\OneDrive\Desktop\Alnoris BMSx\Data\_extracted\nasa_ames\1. BatteryAgingARC-FY08Q4\B0006.mat
B0006,293,canonical,constant_discharge,24.0,327,1.451629,nasa_ames_b0006_discharge_0293,C:\Users\Craig\OneDrive\Desktop\Alnoris BMSx\backend\sim_core\truth_data\nasa_ames\canonical\b0006\nasa_ames_b0006_discharge_0293.json,C:\Users\Craig\OneDrive\Desktop\Alnoris BMSx\Data\_extracted\nasa_ames\1. BatteryAgingARC-FY08Q4\B0006.mat
B0006,613,canonical,constant_discharge,24.0,300,1.185675,nasa_ames_b0006_discharge_0613,C:\Users\Craig\OneDrive\Desktop\Alnoris BMSx\backend\sim_core\truth_data\nasa_ames\canonical\b0006\nasa_ames_b0006_discharge_0613.json,C:\Users\Craig\OneDrive\Desktop\Alnoris BMSx\Data\_extracted\nasa_ames\1. BatteryAgingARC-FY08Q4\B0006.mat
B0007,1,canonical,constant_discharge,24.0,197,1.891052,nasa_ames_b0007_discharge_0001,C:\Users\Craig\OneDrive\Desktop\Alnoris BMSx\backend\sim_core\truth_data\nasa_ames\canonical\b0007\nasa_ames_b0007_discharge_0001.json,C:\Users\Craig\OneDrive\Desktop\Alnoris BMSx\Data\_extracted\nasa_ames\1. BatteryAgingARC-FY08Q4\B0007.mat
B0007,293,canonical,constant_discharge,24.0,327,1.60066,nasa_ames_b0007_discharge_0293,C:\Users\Craig\OneDrive\Desktop\Alnoris BMSx\backend\sim_core\truth_data\nasa_ames\canonical\b0007\nasa_ames_b0007_discharge_0293.json,C:\Users\Craig\OneDrive\Desktop\Alnoris BMSx\Data\_extracted\nasa_ames\1. BatteryAgingARC-FY08Q4\B0007.mat
B0007,613,canonical,constant_discharge,24.0,300,1.432455,nasa_ames_b0007_discharge_0613,C:\Users\Craig\OneDrive\Desktop\Alnoris BMSx\backend\sim_core\truth_data\nasa_ames\canonical\b0007\nasa_ames_b0007_discharge_0613.json,C:\Users\Craig\OneDrive\Desktop\Alnoris BMSx\Data\_extracted\nasa_ames\1. BatteryAgingARC-FY08Q4\B0007.mat
B0018,2,canonical,constant_discharge,24.0,366,1.855005,nasa_ames_b0018_discharge_0002,C:\Users\Craig\OneDrive\Desktop\Alnoris BMSx\backend\sim_core\truth_data\nasa_ames\canonical\b0018\nasa_ames_b0018_discharge_0002.json,C:\Users\Craig\OneDrive\Desktop\Alnoris BMSx\Data\_extracted\nasa_ames\1. BatteryAgingARC-FY08Q4\B0018.mat
